R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo
48,43.900033,18.346912,Lokalna cesta,16/07/2022,19:05:00,Vedro,Noć,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,2,,,,,,,,,
49,43.85395,18.38498,Lokalna cesta,28/02/2022,14:10:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
50,43.85864,18.41402,Magistralna cesta,20/05/2022,12:05:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
51,43.85251,18.38521,Magistralna cesta,19/07/2022,01:15:00,Vedro,Noć,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
52,43.843588,18.33269,Magistralna cesta,04/03/2022,18:45:00,Vedro,Sumrak,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,3,,,,,,,,,
53,43.843786,18.334426,Magistralna cesta,12/05/2022,21:50:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
54,43.843786,18.334426,Magistralna cesta,12/06/2022,20:10:00,Vedro,Noć,Suh,0,0,2,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,1,,,,,,,,,
55,43.844524,18.33743,Magistralna cesta,18/06/2022,06:25:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
56,43.843786,18.334426,Magistralna cesta,30/07/2022,12:40:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,1,,,,,
57,43.841315,18.322358,Magistralna cesta,15/01/2022,08:40:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
