R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo
176,43.84807264,18.359999,Magistralna cesta,30/05/2022,15:00:00,Kiša,Dan,Mokar,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,3,,,,,,,,,
177,43.8542794,18.3663725,Lokalna cesta,08/06/2022,14:05:00,Vedro,Dan,Suh,0,0,2,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,2,0,2,,,,,,,,,
178,43.84807264,18.359999,Magistralna cesta,13/06/2022,13:50:00,Kiša,Dan,Mokar,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
179,43.8542794,18.3663725,Lokalna cesta,13/06/2022,22:40:00,Oblačno,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
180,43.84807264,18.359999,Magistralna cesta,16/06/2022,12:05:00,Vedro,Dan,Suh,0,0,3,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,3,0,2,,,,,,,,,
181,43.84807264,18.359999,Magistralna cesta,20/06/2022,08:25:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
182,43.84807264,18.359999,Magistralna cesta,20/06/2022,12:30:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
183,43.84807264,18.359999,Magistralna cesta,21/06/2022,07:10:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
184,43.84807264,18.359999,Magistralna cesta,22/06/2022,12:40:00,Vedro,Dan,Suh,0,0,2,Sudar prilikom preticanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2,,,,,,,,,
185,43.85374785,18.364521,Lokalna cesta,24/06/2022,11:25:00,Oblačno,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,2,,,,,,,,,
186,43.84807264,18.359999,Magistralna cesta,01/07/2022,13:00:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,3,,,,,,,,,
187,43.84807264,18.359999,Magistralna cesta,02/07/2022,20:50:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,,1,,,,,,
188,43.84716326,18.3737087,Lokalna cesta,02/07/2022,23:30:00,Vedro,Noć,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
189,43.8542794,18.3663725,Lokalna cesta,04/07/2022,00:20:00,Vedro,Noć,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,,,,,,,,,
190,43.84807264,18.359999,Magistralna cesta,15/07/2022,07:45:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
191,43.8508908,18.37183916,Lokalna cesta,16/07/2022,13:55:00,Oblačno,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
192,43.8542794,18.3663725,Lokalna cesta,18/07/2022,18:45:00,Vedro,Sumrak,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,,,,,,,1,,
193,43.84807264,18.359999,Magistralna cesta,19/07/2022,17:40:00,Vedro,Dan,Suh,0,1,1,Izlijetanje izvan kolovoza,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,1,,,,,,,,,
194,43.8542794,18.3663725,Lokalna cesta,20/07/2022,17:10:00,Vedro,Dan,Suh,0,0,3,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,3,0,2,,,,,,,,,
195,43.84807264,18.359999,Magistralna cesta,21/07/2022,15:00:00,Oblačno,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
196,43.85374785,18.364521,Lokalna cesta,27/07/2022,20:17:00,Vedro,Noć,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
197,43.84807264,18.359999,Magistralna cesta,29/07/2022,14:50:00,Kiša,Dan,Mokar,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,3,,,,,,,,,
198,43.84807264,18.359999,Magistralna cesta,04/08/2022,14:35:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
199,43.84886739,18.36026483,Lokalna cesta,06/08/2022,18:35:00,Vedro,Sumrak,Suh,0,0,2,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,1,2,,,,,,,,
200,43.84807264,18.359999,Magistralna cesta,11/08/2022,08:50:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
201,43.84807264,18.359999,Magistralna cesta,15/08/2022,11:00:00,Kiša,Dan,Mokar,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,3,,,,,,,,,
202,43.8542794,18.3663725,Lokalna cesta,18/08/2022,16:00:00,Oblačno,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
203,43.84560975,18.3552127,Lokalna cesta,27/08/2022,15:20:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,,,,,,,,2,,
204,43.84352014,18.33224351,Magistralna cesta,04/03/2022,18:45:00,Vedro,Sumrak,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,3,,,,,,,,,
205,43.843786,18.334426,Magistralna cesta,20/05/2022,21:50:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
206,43.843786,18.334426,Magistralna cesta,12/06/2022,20:10:00,Vedro,Noć,Suh,0,0,2,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,2,0,1,,,,,,,,,
207,43.84428297,18.33665926,Magistralna cesta,18/06/2022,06:25:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
208,43.84285528,18.32867817,Magistralna cesta,22/07/2022,12:00:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,3,,,,,,,,,
209,43.843786,18.334426,Magistralna cesta,30/07/2022,12:40:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,1,,,,,
210,43.85776872,18.391366,Lokalna cesta,17/05/2022,09:00:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Kružni tok,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
211,43.85626845,18.39183927,Lokalna cesta,28/05/2022,14:00:00,Vedro,Dan,Suh,0,0,3,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,3,0,2,,,,,,,,,
212,43.85086272,18.36645863,Lokalna cesta,28/05/2022,15:00:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Kružni tok,Bez prelaza,Ne,Da,0,0,1,0,2,,,,,,,,,
213,43.858196,18.383011,Lokalna cesta,02/06/2022,06:20:00,Vedro,Dan,Suh,0,0,3,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,3,0,2,,,,,,,,,
214,43.8479345,18.40156504,Magistralna cesta,29/06/2022,21:05:00,Vedro,Noć,Suh,0,0,2,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2,,,,,,,,,
215,43.855309,18.37375,Lokalna cesta,12/07/2022,16:20:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
216,43.85207922,18.38306963,Magistralna cesta,13/07/2022,13:40:00,Vedro,Dan,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2,,,,,,,,,
217,43.85360925,18.392705,Lokalna cesta,14/07/2022,15:15:00,Vedro,Dan,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
218,43.859504,18.389688,Lokalna cesta,19/07/2022,15:30:00,Vedro,Dan,Suh,0,0,2,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2,,,,,,,,,
219,43.847596,18.381519,Magistralna cesta,21/07/2022,14:00:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
220,43.849836,18.371944,Magistralna cesta,22/07/2022,16:00:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
221,43.850589,18.37238,Magistralna cesta,23/07/2022,15:30:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
222,43.852237,18.38387,Magistralna cesta,04/08/2022,18:30:00,Vedro,Sumrak,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
223,43.82591,18.35025,Lokalna cesta,13/09/2022,18:50:00,Oblačno,Dan,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,1,0,1,,,,,,,,,
224,43.83272,18.34452,Lokalna cesta,28/09/2022,12:05:00,Oblačno,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1,,,,,,,1,,
225,43.82257,18.33481,Lokalna cesta,06/10/2022,19:15:00,Vedro,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,3,,,,,,,,,
226,43.82257,18.32759,Lokalna cesta,20/10/2022,10:25:00,Vedro,Dan,Suh,0,0,3,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,3,0,1,,,,,1,,,,
227,43.84516,18.34127,Lokalna cesta,18/11/2022,22:00:00,Kiša,Noć,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Jednosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,,,,,,,1,,
228,43.82928,18.34531,Lokalna cesta,22/11/2022,07:50:00,Kiša,Dan,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1,,,,,,,,,
229,43.83568,18.34283,Lokalna cesta,30/11/2022,17:15:00,Kiša,Dan,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,,,,,,,,,
230,43.83062,18.34993,Lokalna cesta,19/12/2022,09:20:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,,,,,,1,,,,
231,43.83166,18.34349,Lokalna cesta,24/12/2022,22:10:00,Magla,Noć,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2,,,,,,,,,
232,43.83166,18.33639,Lokalna cesta,04/01/2023,18:40:00,Vedro,Noć,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,2,,,,,,,,,
233,43.82882,18.33464,Lokalna cesta,05/01/2023,22:10:00,Vedro,Noć,Suh,0,1,2,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Ne,Da,0,0,3,0,1,,,,,,,,,
234,43.83173,18.33669,Lokalna cesta,07/01/2023,15:10:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Ne,Ne,0,0,1,0,1,,,,,,,,,
235,43.83995,18.3386,Lokalna cesta,12/01/2023,16:05:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Ne,Ne,0,0,1,0,3,,,,,,,,,
236,43.82379,18.34752,Lokalna cesta,19/01/2023,19:00:00,Vedro,Noć,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2,,,,,,,,,
237,43.83464,18.32851,Lokalna cesta,01/02/2023,18:00:00,Oblačno,Noć,Suh,0,0,2,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Bez prelaza,Ne,Da,0,0,2,0,3,,,,,,,,,
238,43.83075,18.35119,Lokalna cesta,06/02/2023,20:35:00,Oblačno,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1,,,,,,,,,
239,43.8344,18.34263,Lokalna cesta,21/03/2023,19:35:00,Vedro,Noć,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2,,,,,,,,,
240,43.83017,18.35645,Lokalna cesta,06/04/2023,09:45:00,Oblačno,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,1,0,2,,,,,,,,,
241,43.82714,18.33998,Lokalna cesta,10/04/2023,11:05:00,Kiša,Dan,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,1,0,1,,,,,1,,,,
242,43.836214,18.344824,Lokalna cesta,26/04/2023,17:20:00,Vedro,Dan,Suh,0,0,2,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,2,0,2,,,,,,,,,
243,43.82844,18.34651,Lokalna cesta,12/05/2023,11:50:00,Oblačno,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,,,,,,1,,,,
244,43.83568,18.3423,Lokalna cesta,07/06/2023,07:10:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,1,0,2,,,,,,,,,
245,43.82914,18.35006,Lokalna cesta,20/06/2023,09:00:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,2,,,,,,,,,
246,43.8358,18.34255,Lokalna cesta,14/08/2023,14:00:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,2,,,,,,,,,
247,43.82921,18.34255,Lokalna cesta,05/09/2023,08:50:00,Oblačno,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,2,,,,,,,,,
248,43.83146,18.35072,Lokalna cesta,12/09/2023,15:10:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1,,,,,1,,,,
249,43.82654,18.33981,Lokalna cesta,18/09/2023,19:25:00,Oblačno,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2,,,,,,,,,
250,43.84357,18.33974,Lokalna cesta,20/09/2023,08:40:00,Vedro,Dan,Suh,0,0,1,Sudar vozila i bicikla,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1,,,1,,,,,,
251,43.82958,18.34117,Lokalna cesta,11/10/2023,13:00:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,1,0,2,,,,,,,,,
252,43.82966,18.34109,Lokalna cesta,13/10/2023,07:40:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,1,0,2,,,,,,,,,
253,43.82693,18.33875,Lokalna cesta,17/10/2023,07:15:00,Oblačno,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,1,0,2,,,,,,,,,
254,43.84188,18.33869,Lokalna cesta,03/11/2023,00:05:00,Kiša,Noć,Mokar,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,2,,,,,,,,,
255,43.82921,18.34688,Lokalna cesta,10/11/2023,10:15:00,Oblačno,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,,,,,,1,,,,
256,43.83511,18.32875,Lokalna cesta,13/11/2023,20:55:00,Vedro,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2,,,,,,,,,
257,43.823081,18.349443,Lokalna cesta,24/11/2023,18:00:00,Kiša,Noć,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,,,,,,,,,
258,43.82884,18.35797,Lokalna cesta,15/12/2023,16:00:00,Vedro,Dan,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1,,,,,,,,,
259,43.83606,18.34408,Lokalna cesta,03/01/2024,20:00:00,Oblačno,Noć,Suh,0,0,2,Sudar prilikom skretanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,2,0,2,,,,,,,,,
260,43.84037,18.33794,Lokalna cesta,22/01/2024,14:00:00,Vedro,Dan,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1,,,,,,,,,
261,43.83424,18.32859,Lokalna cesta,23/02/2024,13:15:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,3,,,,,,,,,
262,43.835673,18.335337,Lokalna cesta,27/02/2024,17:30:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1,,,,,,,,,
263,43.82875,18.33448,Lokalna cesta,14/03/2024,19:50:00,Vedro,Noć,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,3,,,,,,,,,
264,43.8335,18.33742,Lokalna cesta,18/03/2024,19:50:00,Kiša,Noć,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1,,,,,,,,,
265,43.83719,18.33347,Lokalna cesta,26/03/2024,11:15:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1,,,,,1,,,,
266,43.82976,18.35734,Lokalna cesta,30/03/2024,12:10:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,2,,,,,,,,,
267,43.834057,18.339299,Lokalna cesta,13/04/2024,15:55:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,1,0,2,,,,,,,,,
268,43.82624,18.34873,Lokalna cesta,28/04/2024,20:10:00,Vedro,Dan,Suh,0,0,1,Sudar vozila i bicikla,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1,,,1,,,,,,
269,43.82669,18.34811,Lokalna cesta,10/05/2024,17:00:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,1,0,2,,,,,,,,,
270,43.84488,18.33891,Lokalna cesta,07/06/2024,20:45:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,3,,,,,,,,,
271,43.83079,18.35118,Lokalna cesta,18/06/2024,16:20:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Ne,0,0,1,0,2,,,,,,,,,
272,43.82639,18.34883,Lokalna cesta,22/06/2024,20:30:00,Vedro,Dan,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,,,,,,,,,
